,0
0,Bryson Tiller
1,Nas
2, Zeeba
3, Genezio
4, Coldplay
5,NAYEON
6,Artemas
7,Adrianne Lenker
8,Beck
9, The Marías
10, Olivia
11,Lewis Capaldi
12,Stevie Wonder
13,Selena Gomez
14,The Goo Goo Dolls
15,Stevie Nicks
16,Meghan Trainor
17, Stormzy
18, Julia Michaels
19,SativaMusic
20, LUM!X
21, Em Beihold
22, Asees Kaur
23,Maluma
24, Flume
25,¥$
26,R3HAB
27,Anuel AA
28,alt-J
29,Bobby Helms
30, Aastha Gill
31,Olivia Rodrigo
32,Colter Wall
33, St. Vincent
34,Gorillaz
35, Dido
36, Tempoe
37,Lorde
38,Sebastian Yatra
39, Tony Dize
40,The Strokes
41, Trippie Redd
42,Grupo Mojado
43, Wiz Khalifa
44,Teddy Swims
45,Stone Temple Pilots
46, Jenn Carter
47,Karan Aujla
48,Billy Ocean
49,Lou Bega
50,The Doobie Brothers
51,John Mellencamp
52,Tanishk Bagchi
53,V
54,Mk.gee
55, Jaani
56, Lil Durk
57,Memphis Cult
58,Zeynep Bastık
59,Lil Tjay
60,Benson Boone
61, yatashigang
62,Creeds
63,RAFFA GUIDO
64, Alicia Keys
65, Charli xcx
66,Weezer
67, Pitbull
68, Far East Movement
69, Janelle Monáe
70,Akon
71,Rednex
72,Cigarettes After Sex
73, Ñengo Flow
74,Fleetwood Mac
75,Audioslave
76, Stevie Appleton
77,Soolking
78, MC Gury
79,Marvin Gaye
80, Prezioso
81, Sean Paul
82, Tommy Richman
83,bbno$
84,Sean Kingston
85, Ikky
86,New Radicals
87,Martin Garrix
88,Young Jonn
89,Mac Miller
90,Kodak Black
91,League of Legends
92,Ryan Castro
93, Julieta Venegas
94, D.O.
95,DJ Zigão
96,Lynyrd Skynyrd
97,d4vd
98, Colby O'Donis
99,Blind Melon
100, MC NAHARA
101,Hozier
102, Natalia Lafourcade
103,Billy Joel
104,Gibran Alcocer
105,Rotimi
106, Alan Braxe
107, SAIKO
108, Bomba Estéreo
109,Dan + Shay
110,Myles Smith
111,Duran Duran
112,Guns N' Roses
113, Ryan Lewis
114,Yeat
115,Neil Young
116,YEONJUN
117,Seal
118,Beach Weather
119, Cesária Evora
120,Ayra Starr
121,The Cars
122,Maroon 5
123, BossMan Dlow
124, énouement
125,Rage Against The Machine
126,Pitbull
127, Ozuna
128,juju<3
129,Gotye
130,Giveon
131,Duki
132, Farruko
133,TOTO
134, Ashanti
135,Tom Rosenthal
136, Don Toliver
137, W&W
138,Gigi Perez
139, Madison Love
